entry_date,exit_date,entry_day_of_week,direction,entry_price,exit_price,entry_prediction,entry_signal_strength,entry_atr,net_return_pct,outcome,exit_reason,holding_days,signal_strength_quartile
2022-01-16 22:00:00+00:00,2022-01-17 22:00:00+00:00,6,LONG,1.1416,1.13954512,-8.084355e-05,4.504964424995706e-05,0.0070749999999999745,-0.19999999999999835,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-01-17 22:00:00+00:00,2022-01-18 22:00:00+00:00,0,LONG,1.14105,1.13899611,-6.450634e-05,6.138685392215849e-05,0.007158571428571411,-0.20000000000000023,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-01-18 22:00:00+00:00,2022-01-19 22:00:00+00:00,1,LONG,1.13235,1.131,-0.00010182155,2.4071646912489093e-05,0.006994285714285715,-0.13922108888594184,LOSS,TIME_EXIT,1,Q1 (Weakest)
2022-01-19 22:00:00+00:00,2022-01-20 22:00:00+00:00,2,LONG,1.13428,1.132238296,-0.00010838322,1.7509977333247668e-05,0.0068714285714285605,-0.20000000000000293,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-01-20 22:00:00+00:00,2022-01-23 22:00:00+00:00,3,LONG,1.13127,1.129233714,-0.00011232159,1.3571603340096778e-05,0.006579285714285692,-0.20000000000000473,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-01-23 22:00:00+00:00,2022-01-24 22:00:00+00:00,6,LONG,1.13434,1.1322981879999998,-0.00011397733,1.1915864597540355e-05,0.006623571428571411,-0.2000000000000077,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-01-24 22:00:00+00:00,2022-01-25 22:00:00+00:00,0,LONG,1.13268,1.130641176,-9.809215e-05,2.780104812700302e-05,0.006599999999999987,-0.19999999999999954,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-01-25 22:00:00+00:00,2022-01-26 22:00:00+00:00,1,LONG,1.1301,1.12806582,-0.00010616546,1.972773286979646e-05,0.006802142857142852,-0.20000000000000948,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-01-26 22:00:00+00:00,2022-01-27 22:00:00+00:00,2,LONG,1.12418,1.122156476,-9.895238e-05,2.6940811658278114e-05,0.007066428571428569,-0.19999999999999496,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-01-30 22:00:00+00:00,2022-01-31 22:00:00+00:00,6,SHORT,1.11456,1.116566208,-0.00015857129,3.1396664562635115e-05,0.007229999999999991,-0.2000000000000058,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-01-31 22:00:00+00:00,2022-02-01 22:00:00+00:00,0,LONG,1.12357,1.13056,-0.000121298974,4.594221245497472e-06,0.006943571428571414,0.6021241222175789,WIN,TIME_EXIT,1,Q1 (Weakest)
2022-02-01 22:00:00+00:00,2022-02-02 22:00:00+00:00,1,SHORT,1.12712,1.1291488159999998,-0.00018305927,5.588464206084608e-05,0.007069285714285715,-0.1999999999999941,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-02-02 22:00:00+00:00,2022-02-03 22:00:00+00:00,2,LONG,1.13059,1.14516,-0.00012518739,7.058039773255652e-07,0.007783571428571445,1.2687076659089476,WIN,TIME_EXIT,1,Q1 (Weakest)
2022-02-03 22:00:00+00:00,2022-02-06 22:00:00+00:00,3,LONG,1.14382,1.141761124,-0.00012501769,8.755084127187794e-07,0.007995714285714313,-0.19999999999999885,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-02-06 22:00:00+00:00,2022-02-07 22:00:00+00:00,6,LONG,1.14615,1.14408693,-7.58644e-05,5.002879304811359e-05,0.007579285714285741,-0.19999999999999518,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-02-07 22:00:00+00:00,2022-02-08 22:00:00+00:00,0,LONG,1.14416,1.142100512,-7.1176444e-05,5.4716750746592886e-05,0.007680714285714295,-0.19999999999999984,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-02-08 22:00:00+00:00,2022-02-09 22:00:00+00:00,1,LONG,1.14164,1.139585048,-7.557728e-05,5.03159168874845e-05,0.007533571428571425,-0.19999999999999502,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-02-09 22:00:00+00:00,2022-02-10 22:00:00+00:00,2,LONG,1.1425,1.1404435,-0.00011250535,1.3387841754592962e-05,0.007971428571428582,-0.20000000000001114,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-02-10 22:00:00+00:00,2022-02-13 22:00:00+00:00,3,LONG,1.14296,1.140902672,-7.682312e-05,4.907007649308071e-05,0.008296428571428585,-0.20000000000000218,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-02-13 22:00:00+00:00,2022-02-14 22:00:00+00:00,6,LONG,1.13403,1.131988746,-9.1143535e-05,3.4749660408124334e-05,0.008461428571428588,-0.2000000000000091,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-02-15 22:00:00+00:00,2022-02-16 22:00:00+00:00,1,LONG,1.1358,1.13375556,-0.000112446105,1.3447089877445257e-05,0.007968571428571436,-0.1999999999999934,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-02-16 22:00:00+00:00,2022-02-17 22:00:00+00:00,2,LONG,1.13736,1.135312752,-0.00012028466,5.608533392660326e-06,0.008045,-0.20000000000000015,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-02-17 22:00:00+00:00,2022-02-20 22:00:00+00:00,3,LONG,1.13625,1.1342047499999999,-0.00012088334,5.009853048250086e-06,0.007713571428571446,-0.20000000000000964,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-02-20 22:00:00+00:00,2022-02-21 22:00:00+00:00,6,LONG,1.13221,1.130172022,-0.000104413084,2.148011088138447e-05,0.007902142857142873,-0.19999999999999474,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-02-21 22:00:00+00:00,2022-02-22 22:00:00+00:00,0,SHORT,1.13138,1.133416484,-0.00013078956,3.6149338120594534e-06,0.008012142857142865,-0.20000000000000043,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-02-22 22:00:00+00:00,2022-02-23 22:00:00+00:00,1,LONG,1.1326,1.13056132,-0.000103792154,2.2101041104178882e-05,0.007110714285714288,-0.2000000000000062,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-02-23 22:00:00+00:00,2022-02-24 22:00:00+00:00,2,LONG,1.1308,1.12876456,-0.00011231933,1.357386616291479e-05,0.008056428571428567,-0.19999999999999993,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-02-24 22:00:00+00:00,2022-02-27 22:00:00+00:00,3,SHORT,1.11923,1.121244614,-0.0001274606,2.859794767573389e-07,0.008483571428571415,-0.20000000000001222,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-02-27 22:00:00+00:00,2022-02-28 22:00:00+00:00,6,SHORT,1.12712,1.11231,-0.00014597522,1.880059950053691e-05,0.009029285714285708,1.293968344098232,WIN,TIME_EXIT,1,Q1 (Weakest)
2022-02-28 22:00:00+00:00,2022-03-01 22:00:00+00:00,0,SHORT,1.12182,1.1123,-0.00015862186,3.144723246805369e-05,0.009732142857142871,0.8286209908898016,WIN,TIME_EXIT,1,Q1 (Weakest)
2022-03-01 22:00:00+00:00,2022-03-02 22:00:00+00:00,1,SHORT,1.11253,1.10656,-0.00016728646,4.011183569673448e-05,0.009492857142857145,0.516614742973226,WIN,TIME_EXIT,1,Q1 (Weakest)
2022-03-02 22:00:00+00:00,2022-03-03 22:00:00+00:00,2,SHORT,1.11195,1.0897109999999999,-0.00013982266,1.2648035190068177e-05,0.009405714285714286,1.9800000000000106,WIN,TAKE_PROFIT,1,Q1 (Weakest)
2022-03-03 22:00:00+00:00,2022-03-06 22:00:00+00:00,3,SHORT,1.1064,1.0842720000000001,-0.0001978675,7.069287472404539e-05,0.010072142857142863,1.979999999999993,WIN,TAKE_PROFIT,1,Q1 (Weakest)
2022-03-06 22:00:00+00:00,2022-03-07 22:00:00+00:00,6,SHORT,1.09294,1.094907292,-0.00020206915,7.489452196750789e-05,0.010531428571428572,-0.20000000000000084,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-03-07 22:00:00+00:00,2022-03-08 22:00:00+00:00,0,SHORT,1.08564,1.0875941519999999,-0.00020865082,8.14761931542307e-05,0.01094642857142858,-0.19999999999999368,LOSS,STOP_LOSS,1,Q2
2022-03-08 22:00:00+00:00,2022-03-09 22:00:00+00:00,1,SHORT,1.0901,1.09206218,-0.00018381888,5.664425203576683e-05,0.011960714285714293,-0.20000000000000323,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-03-09 22:00:00+00:00,2022-03-10 22:00:00+00:00,2,SHORT,1.10725,1.09124,-0.00015423552,2.7060892316512755e-05,0.012547857142857142,1.4259245879431095,WIN,TIME_EXIT,1,Q1 (Weakest)
2022-03-10 22:00:00+00:00,2022-03-13 21:00:00+00:00,3,SHORT,1.0985,1.094,-0.00013332038,6.145759252831331e-06,0.012957142857142858,0.38964952207555287,WIN,TIME_EXIT,1,Q1 (Weakest)
2022-03-13 21:00:00+00:00,2022-03-14 21:00:00+00:00,6,SHORT,1.09228,1.094246104,-0.00015251628,2.5341656291857353e-05,0.013059999999999992,-0.20000000000000728,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-03-14 21:00:00+00:00,2022-03-15 21:00:00+00:00,0,SHORT,1.09464,1.0966103520000001,-0.0001602744,3.3099777065217486e-05,0.013315714285714273,-0.20000000000000584,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-03-15 21:00:00+00:00,2022-03-16 21:00:00+00:00,1,SHORT,1.09538,1.097351684,-0.00020753841,8.036378654651343e-05,0.012556428571428564,-0.19999999999999252,LOSS,STOP_LOSS,1,Q2
2022-03-16 21:00:00+00:00,2022-03-17 21:00:00+00:00,2,SHORT,1.1036,1.10558648,-0.00017178993,4.461530421394854e-05,0.01270928571428571,-0.20000000000000115,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-03-17 21:00:00+00:00,2022-03-20 21:00:00+00:00,3,SHORT,1.10928,1.1017,-0.00013987455,1.2699927319772533e-05,0.01261357142857143,0.6633261214481593,WIN,TIME_EXIT,1,Q1 (Weakest)
2022-03-20 21:00:00+00:00,2022-03-21 21:00:00+00:00,6,SHORT,1.106,1.10298,-0.00016738602,4.0211399900726965e-05,0.012017857142857127,0.25305605786618646,WIN,TIME_EXIT,1,Q1 (Weakest)
2022-03-21 21:00:00+00:00,2022-03-22 21:00:00+00:00,0,SHORT,1.10165,1.10363297,-0.0001716676,4.449298081453889e-05,0.01200571428571427,-0.20000000000000256,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-03-22 21:00:00+00:00,2022-03-23 21:00:00+00:00,1,SHORT,1.1028,1.09981,-0.00014786553,2.0690907840616992e-05,0.011937142857142837,0.25112803772216613,WIN,TIME_EXIT,1,Q1 (Weakest)
2022-03-23 21:00:00+00:00,2022-03-24 21:00:00+00:00,2,SHORT,1.10108,1.103061944,-0.00015378724,2.6612620567902914e-05,0.010977142857142828,-0.19999999999999615,LOSS,STOP_LOSS,1,Q1 (Weakest)
2022-03-24 21:00:00+00:00,2022-03-27 21:00:00+00:00,3,SHORT,1.09985,1.09858,-0.00016180161,3.434100653976202e-05,0.010444999999999958,0.09547029140338267,WIN,TIME_EXIT,1,Q1 (Weakest)
